word,freq
tzv.,6695
k.,6695
priprema,6692
čvor,6691
signal,6686
upravo,6683
slab,6680
zavisnost,6667
slediti,6665
morski,6664
devojka,6656
pozvati,6649
misliti,6649
maplandia,6642
kapacitet,6641
zatvoriti,6637
sastaviti,6622
solarni,6619
poluostrvo,6619
izgled,6609
pilot,6607
nastavljati,6605
1991,6604
dozvoliti,6603
slovenski,6602
huarez,6601
36,6597
delatnost,6597
nastavak,6597
plemen,6597
iucn,6593
bezbednost,6590
uhapsiti,6585
zdravlje,6581
pozitivan,6576
makedonski,6572
berlin,6568
moć,6568
prevod,6565
celina,6565
gen,6563
l.,6558
aj,6556
h.,6554
teksas,6554
direktan,6551
generalan,6549
birati,6532
sfrj,6529
koncept,6527
patrijarh,6524
odrednica,6513
reforma,6512
molekul,6511
1990,6510
konačan,6502
socijalistički,6501
odgovarati,6496
test,6490
isticati,6470
zoran,6468
prisustvo,6467
konačno,6461
završavati,6456
književnik,6456
talas,6455
govor,6453
džejms,6452
religija,6450
2017,6448
pojedinačan,6444
usluga,6444
kćerka,6436
proizvoditi,6435
parlament,6434
dokument,6432
300,6420
središnji,6399
plav,6397
90,6395
korak,6385
распрострањење,6385
zimski,6382
palata,6378
угроженост,6375
zvuk,6372
cgcg,6359
1941,6358
pobuna,6356
samostalan,6356
arheološki,6354
plasirati,6350
let,6350
regija,6348
jako,6347
muzičar,6346
video,6345
pregled,6341
saveznik,6331
trgovački,6330
osvajati,6329
produkcija,6329
marković,6328
harvard,6323
bronzan,6322
neophodan,6322
1986.,6321
odgovoran,6319
upravan,6314
banka,6313
zločin,6312
komunikacija,6308
k,6308
izraziti,6299
priznanje,6299
poziv,6297
tajan,6296
vazdušan,6294
sklad,6292
37,6288
metohija,6283
der,6283
publika,6280
kula,6274
novina,6271
odgovarajući,6271
punoletan,6271
nepoznat,6269
trgovac,6264
noga,6264
opasnost,6264
proleće,6260
režirati,6257
ukazivati,6255
500,6252
sistematski,6248
donositi,6247
prestati,6242
svojstvo,6241
nosilac,6241
pevač,6236
posada,6232
puk,6225
izgledati,6222
jednak,6220
redak,6218
relativno,6216
toliko,6215
38,6210
upravljati,6210
with,6209
iskoristiti,6207
1988.,6199
uzrok,6198
naslov,6190
konstrukcija,6188
hrvat,6187
scenario,6182
kritičar,6181
producent,6181
1994,6181
trg,6178
kruz,6177
upisati,6172
kazna,6170
oženiti,6169
holandija,6162
niti,6160
interes,6154
brazil,6153
staviti,6149
cm,6149
obrada,6148
dodati,6147
balkan,6126
južno,6125
dovoljno,6124
krvni,6124
doživeti,6121
katolički,6119
približno,6113
šef,6108
industrijski,6104
musliman,6100
flota,6095
đorđe,6092
uzimati,6090
ulaz,6089
upoznati,6078
turistički,6074
jevrejski,6073
putovanje,6069
duž,6066
pruga,6062
dinamika,6060
održavanje,6057
pevačica,6055
rang,6055
fond,6045
saradnik,6041
lav,6041
porodičan,6040
režim,6040
likovni,6038
švajcarska,6035
direktno,6035
odvijati,6034
diplomirati,6027
trupa,6026
nameniti,6022
kruna,6022
svrha,6014
živ,6014
izvršan,6013
atina,6012
1993,6012
1952.,6005
normalan,6005
osuditi,6002
sssr,5999
станиште,5996
instrument,5984
varijanta,5975
bol,5975
retko,5973
staza,5969
stena,5965
višeznačan,5965
r,5955
nastanak,5951
upravljanje,5950
standardan,5940
prvobitno,5937
karakterističan,5936
pojedinac,5933
udaljen,5930
»,5926
stići,5925
kupiti,5920
režija,5911
koren,5910
kombinacija,5901
ed,5897
zapravo,5893
bar,5892
dragan,5889
gitara,5886
1984.,5880
susret,5879
načelnik,5869
ekonomija,5868
vi,5867
povećanje,5863
kalendar,5861
antički,5857
krajnji,5850
zaštititi,5849
mor,5841
pisanje,5840
snimanje,5831
austrougarski,5831
